Date;Open;High;Low;Close;WAP;No. of Shares;No. of Trades;Total Turnover;Deliverable Quantity;% Deli. Qty to Traded Qty;Spread H-L;Spread C-O
05.06.2015;12;121;118;118;1.21E+11;283510;510;342180;283510;1000;3;-2
04.06.2015;112;116;111;116;1.12E+11;37860;1230;42290;37860;1000;5;4
03.06.2015;111;111;11;111;1.11E+11;326500;1250;362380;326500;1000;1;0
02.06.2015;106;106;97;106;1.02E+11;19000;50;19390;19000;1000;9;0
01.06.2015;10;104;99;102;1.01E+11;175020;100;176930;175020;1000;5;2
29.05.2015;106;106;104;104;1.06E+11;13020;50;13750;13020;1000;2;-2
28.05.2015;109;109;109;109;109;2000;10;2180;2000;1000;0;0
27.05.2015;114;126;114;114;1.14E+11;171000;120;195060;171000;1000;12;0
26.05.2015;12;12;12;12;12;140000;70;168000;140000;1000;0;0
25.05.2015;126;126;126;126;126;10000;20;12600;10000;1000;0;0
22.05.2015;132;132;132;132;10;10;10;10;10;1000;0;0
20.05.2015;126;126;126;126;126;5000;10;6300;5000;1000;0;0
11.05.2015;132;132;132;132;10;10;10;10;10;1000;0;0
08.05.2015;127;133;121;133;1.29E+11;68010;240;87790;68010;1000;12;6
07.05.2015;127;127;127;127;127;5000;20;6350;5000;1000;0;0
06.05.2015;121;133;121;133;1.21E+11;68630;200;83160;68630;1000;12;12
05.05.2015;132;138;126;127;1.27E+11;51000;340;64570;51000;1000;12;-5
04.05.2015;132;132;12;132;1.30E+11;7020;90;9140;7020;1000;12;0
30.04.2015;138;138;126;126;1.26E+11;167510;310;211180;167510;1000;12;-12
29.04.2015;132;132;132;132;10;10;20;10;10;1000;0;0
28.04.2015;13;139;13;138;1.31E+11;110000;140;144570;110000;1000;9;8
27.04.2015;133;133;132;133;1.32E+11;71020;80;93750;71020;1000;1;0
24.04.2015;127;127;126;127;1.27E+11;36500;230;46250;36500;1000;1;0
23.04.2015;121;121;111;121;1.21E+11;101270;270;122430;101270;1000;1;0
22.04.2015;115;116;111;116;1.14E+11;37370;190;42780;37370;1000;5;1
21.04.2015;106;111;101;111;1.06E+11;370000;440;393950;370000;1000;1;5
20.04.2015;106;106;106;106;106;15000;40;15900;15000;1000;0;0
17.04.2015;111;111;111;111;1.11E+11;28100;90;31190;28100;1000;0;0
